FC PH Master Data,COUNTRY CODE,COUNTRY NAME,REGION CODE,EQUIVALENCE,REGION NAME,SUB REGION,EQUIVALENCE,SUB REGION NAME,TERRITORY CODE,TERRITORY NAME,AREA CODE,AREA NAME,dist
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH2,ABIDJAN 2,SOUTH 2 REGION,YOP 1,Yopougon 1,SELM,WASSAKARA /  SELMER / SICOGI,SODICOM-CI
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH2,ABIDJAN 2,SOUTH 2 REGION,YOP 1,Yopougon 1,SBLE,YOPOUGON SABLE / MILLIONNAIRE / NOUVEAU QUARTIER,SODICOM-CI
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH2,ABIDJAN 2,SOUTH 2 REGION,YOP 1,Yopougon 1,MILLI,YOPOUGON SABLE / MILLIONNAIRE / NOUVEAU QUARTIER,SODICOM-CI
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH2,ABIDJAN 2,SOUTH 2 REGION,YOP 1,Yopougon 1,NGON,NIANGON NORD / SIDECI,SODICOM-CI
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH2,ABIDJAN 2,SOUTH 2 REGION,YOP 1,Yopougon 1,TOROU,TOIT ROUGE / LOKODJRO / ATTECOUBE MOSSIKRO,SODICOM-CI
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH2,ABIDJAN 2,SOUTH 2 REGION,YOP 1,Yopougon 1,LKOD,TOIT ROUGE / LOKODJRO / ATTECOUBE MOSSIKRO,SODICOM-CI
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH2,ABIDJAN 2,SOUTH 2 REGION,YOP 2,Yopougon 2,NGOS,NIANGON SUD / AZITO,SODICOM-CI
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH2,ABIDJAN 2,SOUTH 2 REGION,YOP 2,Yopougon 2,AZTO,NIANGON SUD/ AZITO,SODICOM-CI
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH2,ABIDJAN 2,SOUTH 2 REGION,YOP 2,Yopougon 2,KTE,KOUTÉ/ PETIT TOIT ROUGE/ BÉAGO,SODICOM-CI
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH2,ABIDJAN 2,SOUTH 2 REGION,YOP 2,Yopougon 2,BEAG,KOUTÉ/ PETIT TOIT ROUGE/ BÉAGO,SODICOM-CI
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH2,ABIDJAN 2,SOUTH 2 REGION,YOP 2,Yopougon 2,KWEI,KOWEIT/ SANTÉ/ ABOBO DOUMÉ/ AGBAYATÉ,SODICOM-CI
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH2,ABIDJAN 2,SOUTH 2 REGION,YOP 2,Yopougon 2,YOPS,KOWEIT/ YOPOUGON SANTÉ/ ABOBO DOUMÉ/ AGBAYATÉ,SODICOM-CI
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH2,ABIDJAN 2,SOUTH 2 REGION,YOP 3,Yopougon 3,ADKOI,ANDOKOI/ UNIWAX/CRF ZONE /PRISON CIVILE/SODEFOR  ET CITÉ ADO,NOUVEAUX DISTRIBUTEURS ASSOCIES
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH2,ABIDJAN 2,SOUTH 2 REGION,YOP 3,Yopougon 3,ZNEIND,ZONE INDUSTRIELLE/ MICAO/GESCO FOURRIÈRE/ PK22/SIKENSI/ATTINGUÉ,NOUVEAUX DISTRIBUTEURS ASSOCIES
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH2,ABIDJAN 2,SOUTH 2 REGION,YOP 3,Yopougon 3,MCAO,ANDOKOI/ UNIWAX/ ZONE INDUSTRIELLE/ MICAO GESCO FOURRIÈRE/PRISON CIVILE/ SODEFOR/CITÉ ADO......,NOUVEAUX DISTRIBUTEURS ASSOCIES
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH2,ABIDJAN 2,SOUTH 2 REGION,YOP 3,Yopougon 3,GSCO,ANDOKOI/UNIWAX/ ZONE INDUSTRIELLE/ MICAO/ GESCO FOURRIÈRE/ PRISON CIVILE/ SODEFOR ET CITÉ ADO....,NOUVEAUX DISTRIBUTEURS ASSOCIES
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH2,ABIDJAN 2,SOUTH 2 REGION,YOP 3,Yopougon 3,SPOREXBANCO2/ ABOULAYE DIALLO/ ANANE,SIPOREX/ BANCO2/ ABOULAYE DIALLO/ ANANERAIE/ MAMIE ADJOUA/PORT BOUET 2/CRF CHU/MOSQUÉE KOUDOUS,NOUVEAUX DISTRIBUTEURS ASSOCIES
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH2,ABIDJAN 2,SOUTH 2 REGION,YOP 3,Yopougon 3,PRTBOU,PORT BOUET 2/CRF CHU/MOSQUÉE KOUDOUS/ ANANERAIE/ FUSCOM PORT BOUET 2/RD POINT GESCO,NOUVEAUX DISTRIBUTEURS ASSOCIES
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH2,ABIDJAN 2,SOUTH 2 REGION,YOP 3,Yopougon 3,AANERAIEANANERAI,ANANERAIE/ GESCO RD POINT/ BATIM/MAMIE ADJOUA,NOUVEAUX DISTRIBUTEURS ASSOCIES
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH2,ABIDJAN 2,SOUTH 2 REGION,YOP 4,Yopougon 4,LBAFRIQUEJATARK,LUBAFRIQUE/ JATARK/ LOKOA/CITÉ VERTE/BAGNON/ LIÈVRE ROUGE/KM17/BIMBRESSO/,NOUVEAUX DISTRIBUTEURS ASSOCIES
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH2,ABIDJAN 2,SOUTH 2 REGION,YOP 4,Yopougon 4,CNEO,MATY/CANARI /ANTENNE/ SICOGI ATTIÉ/NIANGON À DROITE/ NIANGON CONTINUE/ CITÉ EECI,NOUVEAUX DISTRIBUTEURS ASSOCIES
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH2,ABIDJAN 2,SOUTH 2 REGION,YOP 4,Yopougon 4,KBIM,KM17/BIMBRESSO/  ́JATARK/LOKOA CITÉ VERTE/ LIÈVRE ROUGE,NOUVEAUX DISTRIBUTEURS ASSOCIES
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH2,ABIDJAN 2,SOUTH 2 REGION,YOP 4,Yopougon 4,DCCO,SICOGI ATTIÉ/ST ANDRÉ CÔTÉ DROIT/ PMI/AIMÉ CESAIRE/BON PRIX/ CRF BOBY & POLICIER CÔTÉ DROIT/BAR ECLA,NOUVEAUX DISTRIBUTEURS ASSOCIES
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH2,ABIDJAN 2,SOUTH 2 REGION,YOP 4,Yopougon 4,TRMINUSNUS,TERMINUS 47 SECTEUR DROIT/ SICOGI PMI/ TIKEN DJA/BMW/KIMI,NOUVEAUX DISTRIBUTEURS ASSOCIES
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH2,ABIDJAN 2,SOUTH 2 REGION,YOP 4,Yopougon 4,AADÉMIEMIE,ACADÉMIE/ FIN GOUDRON/ PAYS BAS/CAISTAB/CITÉ LAURIER/ CITÉ VERTE,NOUVEAUX DISTRIBUTEURS ASSOCIES
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH2,ABIDJAN 2,SOUTH 2 REGION,YOP 4,Yopougon 4,MROCAN,MAROC/ANANERAIE/ PORT BOUET 2/LUBAFRIQUE/ NIANGON À DROITE /TEXACO À DROITE,NOUVEAUX DISTRIBUTEURS ASSOCIES
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH2,ABIDJAN 2,SOUTH 2 REGION,DAB,Dabou,SNGONN,SONGON/N’DJEM/ CARREFOUR JACQUESVILLE/JACQUESVILLE VILLE/ DABOU/N’ZEKREZESSOU....,NOUVEAUX DISTRIBUTEURS ASSOCIES
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH2,ABIDJAN 2,SOUTH 2 REGION,DAB,Dabou,GANDLA,GRAND LAHOU/CRF GRAND LAHOU/CRF FRESCO/FRESCO VILLE ET PÉRIPHÉRIES,NOUVEAUX DISTRIBUTEURS ASSOCIES
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH2,ABIDJAN 2,SOUTH 2 REGION,DAB,Dabou,DBOUVI,DABOU VILLE/ SONGON/ CARREFOUR JACQUESVILLE....,NOUVEAUX DISTRIBUTEURS ASSOCIES
