id,code,nom,territoire_code
"178","NIBLCAMA","NI3-BLONTIARA/DOROPO2-DASSIKELE/BOBOSSO-ZONGO/commerce /TEFRO-BOUNA2/CAMARASSO","Boun"
"179","BNGO","BOUNA /BROMAKOTE-VARALE/VARALE-DOROPO/AXE BOUNA-VONKORO/AXE BOUNA- MANGO","Boun"
"180","NVEG","NOUVEAU GOUDRON/ FEH KESSE/ CITE SIR/ AKANDJE/ LAURIER 15/SANTE","BIN"
"181","BLAN","BLANCHON/PALMERAIE BINGERVILLE/ADJAME BINGERVILLE/ BREGBO/AKOUAI SANTE/AMAN/","BIN"
"182","BCIE","BASE CIE/ KOROCOBOUGOU/GBAGBA/BERLIN/SAVANE/MACHOU/SICOGI/MACHOUX/MARCHE/","BIN"
"183","ABAT","ABATTA/ABATTA VILLAGE/JULES VERNE/CITE DU PORT","BIN"
"184","BING","TOUT BINGERVILLE","BIN"
"185","LCET","LYCEE TECHNIQUE/VALLON/COLOMBIE","COC 1"
"186","MAHO","MAHOU COLOMBIE","COC 1"
"187","PERL","PERLE/MAHOU/ANGRE","COC 1"
"188","PALM","PALMERAIE/ATTOBAN /BONOUMIN","COC 1"
"189","PALM2","PALMERAIE2 COCOVICO","COC 1"
"190","ANGR","ANGRE 2PLATEAUX 7 TRANCHE","COC 1"
"191","DJOR","BESSIKOI/DJOROBITE","COC 1"
"192","DNGA","DANGA/COCODY CENTRE/BLAUKOSS","COC 2"
"193","BLKH","BLAUKOSS COCODY CENTRE","COC 2"
"194","RVER2","RIVIERA 2/ RIVIERA 3/ GOLF","COC 2"
"195","ANON","ANONO","COC 2"
"196","FAYB","FAYA BON PRIX/ABATTA","COC 2"
"197","CIAD","CIAD/MPOUTO/SYNACACI/FAYA (COTE ECHANGEUR)","COC 2"
"198","ARAS","ARAS/ BELLEVILLE/ BIAFRA/ QUARTIER APOLLO / ZONE 3","TRE"
"199","BIAF","ARAS/ BELLEVILLE/ BIAFRA/ QUARTIER APOLLO / ZONE 3","TRE"
"200","RSD","RÉSIDENTIEL / CHAMPROUX / GROUPEMENT/ HIBISCUS / MASSARANA","MAR"
"201","SICOG","SICOGI / REMBLAIS / ANOUMANBO/ SANS FIL / ZONE 4","MAR"
"202","HIBI","RÉSIDENTIEL / CHAMPROUX / GRPE/ HIBISCUS / MASSARANA / SICOGI / REMBLAIS /ANOUMANBO/ SANS FIL/ ZONE4","MAR"
"203","RBLA","REMBLAIS/MARAIS/ DIVO/ KOUMASSI 32/ TERM 05","KOU"
"204","CTE147","CITÉ 147/ PRODOMO/SOPIM/ CAMPEMENT/SOWETO/SICOGI","KOU"
"205","AHOU","AHOUSSABOUGOU/ 3 AMPOULES/ MARCHÉ DJE KONAN/SOLEIL/GELTI","KOU"
"206","KMSS32","REMBLAIS/MARAIS/ DIVO/ KOUMASSI 32/ TERM 05 /3 AMPOULES / AHOUSSABOUGOU","KOU"
"207","PRDM","CITÉ 147/ PRODOMO/SOPIM/ CAMPEMENT/SOWETO/SICOGI/ MARCHÉ DJE KONAN / SOLEIL","KOU"
"208","PRBC","PORT BOUET CENTRE/CITÉ POLICIÈRE/PETIT BASSAM/VRIDI","PRB"
"209","AERO","AÉROPORT/ ADJAWUI","PRB"
"210","JANF","JEAN FOLLY/ ADJOUFOU","PRB"
"211","TRCA","TERRE ROUGE/CORRIDOR/ANANI","PRB"
"212","PRBO","PORT BOUET","PRB"
